name,website,classification,platform,confidence,signals
"Fjorden IF","http://www.iffjorden.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.8.5"
"FK Sydsjælland 05","http://www.fk05.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"FodboldHoldet Herning","http://www.fhherning.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress.com"
"FC Damsø","http://www.fcdamsoe.dk/","custom","WordPress","high","platform:WordPress"
"Fortuna Hjørring (professional)","http://www.fortunahjorring.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Fortuna Hjørring","http://www.fortunahjorring.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Fr.holm Sydhavnen","http://www.boldklubbenfrederiksholmsydhavnen.dk/","unknown","","low","generator:Webnode 2"
"Foulum IF","http://www.foulumif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Fodboldklubben Sorø Freja","http://www.sorøfreja.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Fortuna Svendborg","http://www.fortuna-svendborg.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Fløng-Hedehusene Fodbold","http://www.fhfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Fredericia KFUM","http://www.fredericiakfum.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Frederikshavn fI","http://www.ffifodbold.dk/","custom","TYPO3","medium","platform:TYPO3; generator:TYPO3 CMS"
"Frederiksberg Boldklub","http://www.frederiksberg-boldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Fredericia fF","http://www.fredericiaff.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Funder GF","http://www.fundergffodbold.dk/","unreachable","","n/a","fetch failed"
"Fredensborg BI","http://fbi-bold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Fuglebjerg IF","https://fuglebjergif.dk/afdelinger/fodbold/tilmeld","custom","WordPress","high","platform:WordPress; generator:Site Kit by Google 1.181.0"
"Fuglebakken KFUM Århus","http://www.fuglebakkenkfum.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Frem Hellebæk","http://www.ifh-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Fremad Amager Elite (professional)","http://www.fremad-amager.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Futsal Club Fjordbold","http://www.fcfjordbold.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Fynslund B","http://www.fynslundboldklub.dk/","custom","SPA/JS-framework","medium","platform:SPA/JS-framework"
"Førslev IF","http://www.forslevif.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Frederiksværk Fodbold Klub","http://www.ffk-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Føvling/Stenderup UI","http://www.fsui.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 4.9.26"
"Gadevang IF","http://www.gadevang-if.dk/","custom","SPA/JS-framework","medium","platform:SPA/JS-framework"
"Gandrup SK","http://www.gandrup-sportsklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Fursund IF","http://www.fursundif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Galten FS","http://galtenfsfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Gelsted G & IF","http://www.ggif-fyn.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Gedved IF","http://www.gedved-if.dk/","custom","Joomla","medium","platform:Joomla"
"Gesten IF","http://www.gesten-if.dk/","unknown","","low",""
"Gauerslund IF","http://www.gauerslundiffodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"GFG Voel","http://www.gfg-voel.dk/","unknown","","low",""
"Gevninge IF","http://www.gevninge-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Fårevejle BK","http://www.faarevejle-bk.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.7.5"
"Gentofte-Vangede Idrætsforening","http://www.gvi-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Gilleleje FK","http://www.gillelejefodboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Give Fremad","http://www.givefremad.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Giovani Hajduk","http://www.hajduk.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 5.7.15"
"Frederikssund IK","http://www.fikfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Givskud GUF","http://www.givskud.dk/","unknown","","low",""
"GIF-Gram","http://www.gramif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Glostrup 95","http://www.glostrup95.dk/","unreachable","","n/a","fetch failed"
"Gjern IF","http://www.gjern-if.dk/","unknown","","low",""
"Gl. Rye IF","http://www.glryeif.dk/","unknown","","low",""
"Fårvang IF","http://www.hfif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Grantoften IF","http://www.grantoften-if.klub-modul.dk/","unknown","","low",""
"Gladsaxe-Hero BK","http://www.gladsaxe-hero.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Glamsbjerg IF","http://www.glamsbjergif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Føllenslev-Særslev IF","http://www.fsifodbold.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Gredstedbro B","http://www.gredstedbrob.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
